token-name,description,value-light,value-dark,category,type,version,tags,platform,usage
shadow.medium,"- Moderate shadow
- Medium elevation
- Should be noticeable
- Must be visible
- Creates standard depth",#4ba64b,#000113,color,shadow,1.0.113,,web,"- Moderate elevation
- Medium depth
- Standard separation
- Regular depth
- Standard containers
- Regular cards
- Medium elements"
shadow.large,"- Significant elevation
- Strong depth
- Major separation
- Strong depth
- Major containers
- Strong cards
- Large elements",#4ba64b,#000114,color,shadow,1.0.114,,web,"- Significant elevation
- Strong depth
- Major separation
- Strong depth
- Major containers
- Strong cards
- Large elements"
shadow.focus,"- Focus shadow
- Active elevation
- Should be noticeable
- Must be accessible
- Creates focus emphasis",#4ba64b,#000115,color,shadow,1.0.115,,web,"- Focused elements
- Active states
- Selected items
- Focus indicators
- Active containers
- Selected elements
- Focus states"
shadow.hover,"- Hover shadow
- Interactive elevation
- Should provide feedback
- Must be visible
- Creates interaction feedback",#4ba64b,#000116,color,shadow,1.0.116,,web,"- Hover states
- Interactive elements
- Mouse feedback
- Hover indicators
- Interactive containers
- Hover elements
- Interactive states"
shadow.active,"- Active shadow
- Pressed elevation
- Should show state
- Must be visible
- Creates state indication",#4ba64b,#000117,color,shadow,1.0.117,,web,"- Active elements
- Pressed states
- Selected items
- Active indicators
- Pressed containers
- Active elements
- Selected states"
shadow.card,"- Card shadow
- Container elevation
- Should be subtle
- Must be visible
- Creates card depth",#4ba64b,#000118,color,shadow,1.0.118,,web,"- Card elements
- Panel shadows
- Container shadows
- Card containers
- Panel elements
- Container elements
- Card sections"
shadow.modal,"    - Modal shadow
    - Dialog elevation
    - Should be prominent
    - Must be visible
    - Creates modal depth",#4ba64b,#000119,color,shadow,1.0.119,,web,"- Modal dialogs
- Dialog shadows
- Popup shadows
- Modal containers
- Dialog elements
- Popup elements
- Modal sections"
shadow.dropdown,"- Dropdown shadow
- Menu elevation
- Should be visible
- Must be accessible
- Creates menu depth",#4ba64b,#000120,color,shadow,1.0.120,,web,"- Dropdown menus
- Menu shadows
- List shadows
- Dropdown containers
- Menu elements
- List elements
- Dropdown sections"
shadow.tooltip,"- Tooltip shadow
- Help elevation
- Should be subtle
- Must be visible
- Creates tooltip depth",#4ba64b,#000121,color,shadow,1.0.121,,web,"- Tooltips
- Help text
- Info bubbles
- Tooltip containers
- Help elements
- Info elements
- Tooltip sections"
shadow.header,"- Header shadow
- Navigation elevation
- Should be subtle
- Must be visible
- Creates header depth",#4ba64b,#000122,color,shadow,1.0.122,,web,"- Header sections
- Navigation shadows
- Top shadows
- Header containers
- Navigation elements
- Top elements
- Header sections"
shadow.footer,"- Footer shadow
- Bottom elevation
- Should be subtle
- Must be visible
- Creates footer depth",#4ba64b,#000123,color,shadow,1.0.123,,web,"- Footer sections
- Bottom shadows
- End shadows
- Footer containers
- Bottom elements
- End elements
- Footer sections"
shadow.sidebar,"- Sidebar shadow
- Navigation elevation
- Should be visible
- Must be accessible
- Creates sidebar depth",#4ba64b,#000124,color,shadow,1.0.124,,web,"- Sidebar sections
- Navigation shadows
- Side shadows
- Sidebar containers
- Navigation elements
- Side elements
- Sidebar sections"
shadow.overlay,"- Overlay shadow
- Background elevation
- Should be subtle
- Must be visible
- Creates overlay depth",#4ba64b,#000125,color,shadow,1.0.125,,web,"- Overlay sections
- Background shadows
- Cover shadows
- Overlay containers
- Background elements
- Cover elements
- Overlay sections"
shadow.inner,"- Inner shadow
- Inset elevation
- Should be visible
- Must be accessible
- Creates inset depth",#4ba64b,#000126,color,shadow,1.0.126,,web,"- Inset elements
- Pressed states
- Depressed elements
- Inset containers
- Pressed sections
- Depressed sections
- Inset sections"
gradient.primary,"- Primary gradient
- Main visual element
- Must be prominent
- Should be accessible
- Creates visual hierarchy",#4ba64b,#000127,color,gradient,1.0.127,,web,"- Primary buttons
- Main CTAs
- Key elements
- Important sections
- Primary backgrounds
- Main highlights
- Key containers"
gradient.secondary,"- Secondary gradient
- Supporting visual element
- Should complement primary
- Must be accessible
- Creates visual balance",#4ba64b,#000128,color,gradient,1.0.128,,web,"- Secondary buttons
- Supporting elements
- Alternative sections
- Secondary backgrounds
- Supporting highlights
- Alternative containers
- Secondary CTAs"
gradient.accent,"- Accent gradient
- Decorative element
- Should add interest
- Must be accessible
- Creates visual interest",#4ba64b,#000129,color,gradient,1.0.129,,web,"- Accent elements
- Decorative sections
- Special highlights
- Accent backgrounds
- Decorative containers
- Special sections
- Accent CTAs"
gradient.success,"- Success gradient
- Positive element
- Should indicate success
- Must be accessible
- Creates positive feedback",#4ba64b,#000130,color,gradient,1.0.130,,web,"- Success states
- Positive elements
- Achievement sections
- Success backgrounds
- Positive highlights
- Achievement containers
- Success indicators"
gradient.error,"- Error gradient
- Critical element
- Should indicate error
- Must be accessible
- Creates urgency",#4ba64b,#000131,color,gradient,1.0.131,,web,"- Error states
- Critical elements
- Warning sections
- Error backgrounds
- Critical highlights
- Warning containers
- Error indicators"
gradient.warning,"- Warning gradient
- Caution element
- Should indicate warning
- Must be accessible
- Creates awareness",#4ba64b,#000132,color,gradient,1.0.132,,web,"- Warning states
- Caution elements
- Alert sections
- Warning backgrounds
- Caution highlights
- Alert containers
- Warning indicators"
gradient.info,"- Info gradient
- Help element
- Should indicate information
- Must be accessible
- Creates understanding",#4ba64b,#000133,color,gradient,1.0.133,,web,"- Information states
- Help elements
- Guidance sections
- Info backgrounds
- Help highlights
- Guidance containers
- Info indicators"
gradient.hero,"- Hero gradient
- Main visual
- Should be impactful
- Must be accessible
- Creates visual impact",#4ba64b,#000134,color,gradient,1.0.134,,web,"- Hero sections
- Main banners
- Key visuals
- Hero backgrounds
- Main sections
- Key containers
- Banner elements"
gradient.card,"- Card gradient
- Container element
- Should be subtle
- Must be accessible
- Creates depth",#4ba64b,#000135,color,gradient,1.0.135,,web,"- Card backgrounds
- Panel elements
- Container sections
- Card containers
- Panel backgrounds
- Container elements
- Card sections"
gradient.modal,"- Modal gradient
- Dialog element
- Should be distinct
- Must be accessible
- Creates focus",#4ba64b,#000136,color,gradient,1.0.136,,web,"- Modal backgrounds
- Dialog elements
- Popup sections
- Modal containers
- Dialog backgrounds
- Popup elements
- Modal sections"
gradient.header,"- Header gradient
- Navigation element
- Should be prominent
- Must be accessible
- Creates navigation hierarchy",#4ba64b,#000137,color,gradient,1.0.137,,web,"- Header sections
- Navigation elements
- Top sections
- Header backgrounds
- Navigation containers
- Top elements
- Header containers"
gradient.footer,"- Footer gradient
- Bottom element
- Should be subtle
- Must be accessible
- Creates closure",#4ba64b,#000138,color,gradient,1.0.138,,web,"- Footer sections
- Bottom elements
- End sections
- Footer backgrounds
- Bottom containers
- End elements
- Footer containers"
gradient.sidebar,"- Sidebar gradient
- Navigation element
- Should be distinct
- Must be accessible
- Creates navigation structure",#4ba64b,#000139,color,gradient,1.0.139,,web,"- Sidebar sections
- Navigation elements
- Side sections
- Sidebar backgrounds
- Navigation containers
- Side elements
- Sidebar containers"
gradient.overlay,"- Overlay gradient
- Background element
- Should be subtle
- Must be accessible
- Creates depth",#4ba64b,#000140,color,gradient,1.0.140,,web,"- Overlay sections
- Background elements
- Cover sections
- Overlay backgrounds
- Background containers
- Cover elements
- Overlay containers"
gradient.focus,"- Focus gradient
- Active element
- Should be noticeable
- Must be accessible
- Creates emphasis",#4ba64b,#000141,color,gradient,1.0.141,,web,"- Focus states
- Active elements
- Selected sections
- Focus backgrounds
- Active containers
- Selected elements
- Focus indicators"
chart.primary,"- Primary data visualization
- Main chart elements
- Must be clearly visible
- Should be accessible
- Creates primary focus",#4ba64b,#000142,color,chart,1.0.142,,web,"- Main data series
- Primary metrics
- Key indicators
- Primary trends
- Main values
- Primary data points
- Key measurements"
chart.secondary,"- Secondary data visualization
- Supporting chart elements
- Should complement primary
- Must be accessible
- Creates visual hierarchy",#4ba64b,#000143,color,chart,1.0.143,,web,"- Secondary data series
- Supporting metrics
- Alternative indicators
- Secondary trends
- Supporting values
- Secondary data points
- Supporting measurements"
chart.tertiary,"- Tertiary data visualization
- Additional chart elements
- Should support main data
- Must be accessible
- Creates data depth",#4ba64b,#000144,color,chart,1.0.144,,web,"- Tertiary data series
- Additional metrics
- Extra indicators
- Additional trends
- Extra values
- Additional data points
- Extra measurements"
chart.quaternary,"- Fourth data visualization
- Extended chart elements
- Should maintain distinction
- Must be accessible
- Creates data breadth",#4ba64b,#000145,color,chart,1.0.145,,web,"- Fourth data series
- Extended metrics
- Further indicators
- Extended trends
- Further values
- Extended data points
- Further measurements"
chart.quinary,"- Fifth data visualization
- Additional chart elements
- Should maintain clarity
- Must be accessible
- Creates data completeness",#4ba64b,#000146,color,chart,1.0.146,,web,"- Fifth data series
- Additional metrics
- Extra indicators
- Additional trends
- Extra values
- Additional data points
- Extra measurements"
chart.background,"- Chart background
- Visualization container
- Should be neutral
- Must support data visibility
- Creates chart foundation",#4ba64b,#000147,color,chart,1.0.147,,web,"- Chart container
- Graph background
- Plot area
- Chart base
- Visualization background
- Graph container
- Chart foundation"
chart.grid,"- Grid visualization
- Reference elements
- Should be subtle
- Must support readability
- Creates measurement framework",#4ba64b,#000148,color,chart,1.0.148,,web,"- Grid lines
- Reference lines
- Measurement guides
- Scale indicators
- Grid markers
- Reference markers
- Scale guides"
chart.axis,"- Axis visualization
- Scale elements
- Should be visible
- Must support readability
- Creates measurement structure",#4ba64b,#000149,color,chart,1.0.149,,web,"- Axis lines
- Scale lines
- Axis markers
- Scale indicators
- Axis labels
- Scale labels
- Axis guides"
chart.highlight,"- Data emphasis
- Important elements
- Should be noticeable
- Must be accessible
- Creates data emphasis",#4ba64b,#000150,color,chart,1.0.150,,web,"- Data highlights
- Important points
- Key values
- Significant data
- Highlight markers
- Important indicators
- Key markers"
chart.trend,"- Trend visualization
- Pattern elements
- Should be clear
- Must support analysis
- Creates pattern recognition",#4ba64b,#000151,color,chart,1.0.151,,web,"- Trend lines
- Pattern indicators
- Trend markers
- Pattern guides
- Trend indicators
- Pattern lines
- Trend guides"
chart.comparison,"- Comparison visualization
- Reference elements
- Should be distinct
- Must support comparison
- Creates data comparison",#4ba64b,#000152,color,chart,1.0.152,,web,"- Comparison lines
- Reference points
- Comparison markers
- Reference indicators
- Comparison guides
- Reference points
- Comparison indicators"
chart.forecast,"- Forecast visualization
- Prediction elements
- Should be distinct
- Must support prediction
- Creates future projection",#4ba64b,#000153,color,chart,1.0.153,,web,"- Forecast lines
- Prediction indicators
- Forecast markers
- Prediction guides
- Forecast indicators
- Prediction lines
- Forecast guides"
chart.target,"- Target visualization
- Goal elements
- Should be clear
- Must support goal tracking
- Creates objective visualization",#4ba64b,#000154,color,chart,1.0.154,,web,"- Target lines
- Goal indicators
- Target markers
- Goal guides
- Target indicators
- Goal lines
- Target guides"
chart.baseline,"- Baseline visualization
- Reference elements
- Should be visible
- Must support comparison
- Creates reference framework",#4ba64b,#000155,color,chart,1.0.155,,web,"- Baseline indicators
- Reference points
- Baseline markers
- Reference guides
- Baseline indicators
- Reference lines
- Baseline guides"
chart.legend,"- Legend visualization
- Series elements
- Should be clear
- Must support identification
- Creates data identification",#4ba64b,#000156,color,chart,1.0.156,,web,"- Legend items
- Series indicators
- Legend markers
- Series guides
- Legend indicators
- Series markers
- Legend guides"
feedback.success,"- Indicates successful outcomes
- Shows positive results
- Must be clearly visible
- Should be accessible
- Creates positive reinforcement",#4ba64b,#000157,color,feedback,1.0.157,,web,"- Success messages
- Completed actions
- Positive outcomes
- Achievement notifications
- Confirmation alerts
- Task completion
- Operation success"
feedback.error,"- Shows critical issues
- Indicates problems
- Must be attention-grabbing
- Should be accessible
- Creates urgency",#4ba64b,#000158,color,feedback,1.0.158,,web,"- Error messages
- Failed operations
- Problem alerts
- Critical issues
- Operation failures
- System errors
- Validation errors"
feedback.warning,"- Indicates caution
- Shows potential problems
- Should be noticeable
- Must be accessible
- Creates awareness",#4ba64b,#000159,color,feedback,1.0.159,,web,"- Warning messages
- Cautionary alerts
- Important notices
- Potential issues
- Attention alerts
- System warnings
- Caution states"
feedback.info,"- Shows information
- Provides guidance
- Should be clear
- Must be accessible
- Creates understanding",#4ba64b,#000160,color,feedback,1.0.160,,web,"- Information messages
- Status updates
- Help notifications
- System status
- Progress updates
- General alerts
- Status information"
feedback.neutral,"- Shows standard state
- Indicates normal status
- Should be subtle
- Must be accessible
- Creates balance",#4ba64b,#000161,color,feedback,1.0.161,,web,"- Default states
- Status updates
- General notifications
- System messages
- Default alerts
- Standard feedback
- Regular updates"
feedback.processing,"- Shows in-progress state
- Indicates processing
- Should be clear
- Must be accessible
- Creates expectation",#4ba64b,#000162,color,feedback,1.0.162,,web,"- Loading states
- Progress indicators
- Operation status
- Background tasks
- Processing alerts
- Task progress
- Operation status"
feedback.completed,"- Shows completion
- Indicates finished state
- Should be clear
- Must be accessible
- Creates closure",#4ba64b,#000163,color,feedback,1.0.163,,web,"- Task completion
- Operation success
- Process completion
- Action completion
- Task finished
- Operation done
- Process finished"
feedback.pending,"- Shows waiting state
- Indicates pending status
- Should be clear
- Must be accessible
- Creates patience",#4ba64b,#000164,color,feedback,1.0.164,,web,"- Waiting states
- Queue status
- Delayed operations
- Waiting alerts
- Queue indicators
- Delayed status
- Waiting feedback"
feedback.valid,"- Shows validity
- Indicates correctness
- Should be clear
- Must be accessible
- Creates confidence",#4ba64b,#000165,color,feedback,1.0.165,,web,"- Valid inputs
- Correct states
- Validated fields
- Proper conditions
- Valid indicators
- Correct feedback
- Valid states"
feedback.invalid,"- Shows invalidity
- Indicates errors
- Should be clear
- Must be accessible
- Creates correction",#4ba64b,#000166,color,feedback,1.0.166,,web,"- Invalid inputs
- Incorrect states
- Invalidated fields
- Wrong conditions
- Error indicators
- Invalid feedback
- Error states"
feedback.attention,"- Shows importance
- Indicates priority
- Should be noticeable
- Must be accessible
- Creates awareness",#4ba64b,#000167,color,feedback,1.0.167,,web,"- Important alerts
- Priority messages
- Attention needed
- Key notifications
- Important updates
- Priority alerts
- Key messages"
feedback.help,"- Shows help
- Indicates assistance
- Should be clear
- Must be accessible
- Creates support",#4ba64b,#000168,color,feedback,1.0.168,,web,"- Help messages
- Assistance alerts
- Guidance notifications
- Support messages
- Help indicators
- Assistance feedback
- Guidance alerts"
feedback.offline,"- Shows offline state
- Indicates connection issues
- Should be clear
- Must be accessible
- Creates awareness",#4ba64b,#000169,color,feedback,1.0.169,,web,"- Connection loss
- Offline status
- Network issues
- Sync problems
- Connection alerts
- Network status
- Sync status"
feedback.sync,"- Shows sync state
- Indicates update status
- Should be clear
- Must be accessible
- Creates understanding",#4ba64b,#000170,color,feedback,1.0.170,,web,"- Sync status
- Update progress
- Sync indicators
- Update status
- Sync alerts
- Update feedback
- Sync progress"
feedback.timeout,"- Shows timeout
- Indicates time limit
- Should be clear
- Must be accessible
- Creates awareness",#4ba64b,#000171,color,feedback,1.0.171,,web,"- Operation timeout
- Request timeout
- Process timeout
- Timeout alerts
- Request status
- Process status
- Operation status"
a11y.focusRing,"- Clear focus indicator
- Keyboard navigation
- Must be highly visible
- Should meet WCAG standards
- Essential for accessibility",#4ba64b,#000172,color,a11y,1.0.172,,web,"- Keyboard navigation
- Focus indicators
- Interactive elements
- Form fields
- Navigation focus
- Button focus
- Link focus"
a11y.selection,"- Text selection color
- Content highlighting
- Must be visible
- Should maintain readability
- Supports text interaction",#4ba64b,#000173,color,a11y,1.0.173,,web,"- Text selection
- Content highlighting
- Selected text
- Content focus
- Text emphasis
- Content marking
- Selection indicators"
a11y.highlight,"- Content emphasis
- Information highlighting
- Must be noticeable
- Should be clear
- Supports content hierarchy",#4ba64b,#000174,color,a11y,1.0.174,,web,"-Important content
- Key information
- Critical text
- Essential content
- Priority information
- Key points
- Important details"
a11y.error,"- Error indication
- Problem highlighting
- Must be clear
- Should be accessible
- Supports error feedback",#4ba64b,#000175,color,a11y,1.0.175,,web,"- Error states
- Validation errors
- Form errors
- Input errors
- Critical issues
- Error messages
- Problem indicators"
a11y.success,"- Success indication
- Positive feedback
- Must be clear
- Should be accessible
- Supports success feedback",#4ba64b,#000176,color,a11y,1.0.176,,web,"- Success states
- Valid inputs
- Confirmation
- Positive feedback
- Achievement
- Success messages
- Valid indicators"
a11y.warning,"- Warning indication
- Caution highlighting
- Must be noticeable
- Should be accessible
- Supports warning feedback",#4ba64b,#000177,color,a11y,1.0.177,,web,"- Warning states
- Cautionary messages
- Important notices
- Attention alerts
- Warning indicators
- Caution states
- Alert messages"
a11y.info,"- Information indication
- Help highlighting
- Must be clear
- Should be accessible
- Supports information feedback",#4ba64b,#000178,color,a11y,1.0.178,,web,"- Information states
- Help messages
- Guidance text
- Status updates
- Information alerts
- Help indicators
- Status messages"
a11y.required,"- Required indication
- Mandatory highlighting
- Must be clear
- Should be accessible
- Supports form requirements",#4ba64b,#000179,color,a11y,1.0.179,,web,"- Required fields
- Mandatory inputs
- Required indicators
- Form requirements
- Required elements
- Mandatory fields
- Required states"
a11y.current,"    - Current indication
    - Active highlighting
    - Must be clear
    - Should be accessible
    - Supports navigation",#4ba64b,#000180,color,a11y,1.0.180,,web,"- Current item
- Active element
- Current state
- Active indicator
- Current position
- Active location
- Current focus"
a11y.visited,"- Visited indication
- Viewed highlighting
- Must be clear
- Should be accessible
- Supports navigation history",#4ba64b,#000181,color,a11y,1.0.181,,web,"- Visited links
- Viewed content
- Accessed items
- Viewed states
- Visited pages
- Viewed elements
- Accessed links"
a11y.disabled,"- Disabled indication
- Unavailable highlighting
- Must be clear
- Should be accessible
- Supports state indication",#4ba64b,#000182,color,a11y,1.0.182,,web,"- Disabled elements
- Unavailable items
- Inactive states
- Disabled controls
- Unavailable features
- Inactive elements
- Disabled states"
a11y.placeholder," - Placeholder indication
    - Help text highlighting
    - Must be clear
    - Should be accessible
    - Supports form guidance",#4ba64b,#000183,color,a11y,1.0.183,,web,"- Input placeholders
- Form hints
- Field guidance
- Input help
- Form assistance
- Field hints
- Input guidance"
a11y.help,"- Help indication
- Assistance highlighting
- Must be clear
- Should be accessible
- Supports user assistance",#4ba64b,#000184,color,a11y,1.0.184,,web,"- Help text
- Assistance messages
- Guidance text
- Help indicators
- Support text
- Assistance indicators
- Help messages"
a11y.offline,"- Offline indication
- Status highlighting
- Must be clear
- Should be accessible
- Supports status indication",#4ba64b,#000185,color,a11y,1.0.185,,web,"- Connection issues
- Sync status
- Network states
- Connection indicators
- Sync indicators
- Network status"
a11y.loading,"- Loading indication
- Progress highlighting
- Must be clear
- Should be accessible
- Supports progress indication",#4ba64b,#000186,color,a11y,1.0.186,,web,"- Loading states
- Progress indicators
- Loading feedback
- Progress states
- Loading indicators
- Progress feedback
- Loading messages"
